,timestamp,x_i,y_i,vx_i,vy_i,hx_i,hy_i,acc_i,length_i,width_i,x_j,y_j,vx_j,vy_j,hx_j,hy_j,acc_j,length_j,width_j,TTC,DRAC,MTTC,t
4,1669899870.5600002,314730.7076132371,-27.524713483004767,76.75862876884639,-0.6481453033592288,0.9999643518396847,-0.008443639608562117,0.7220643678027727,20.831321716308594,6.875411033630371,314781.21633775276,-46.19530861720615,61.12997362529859,5.701733266453857,0.99567831671239,0.09286920710753184,-1.6149071252878002,67.10565100775824,11.083284378051758,1.7062460173886842,4.943418188941685,1.541626052847126,0.0
5,1669899870.6000001,314733.7785399013,-27.54954759714422,76.78750896127895,-0.64134321596066,0.9999651223564004,-0.008351890250065837,0.7221642252596894,20.831321716308594,6.875411033630371,314783.6631571097,-45.99871410335594,61.07062735455111,5.640428592948638,0.9957619918133935,0.09196768812916406,-1.6212079877662973,67.10565100775824,11.083284378051758,1.681979186151382,5.031498153248563,1.5216864944312287,0.039999961853027344
6,1669899870.64,314736.85062405386,-27.57411022902762,76.81651748996228,-0.6345413161947704,0.9999658839799647,-0.00826019831286191,0.7256017101545922,20.831321716308594,6.875411033630371,314786.1075757709,-45.80462685208843,61.01104919379577,5.579123674759558,0.9958449938559295,0.09106452773766409,-1.626124327668549,67.10565100775824,11.083284378051758,1.6577360159548633,5.122349062528738,1.501615589209788,0.07999992370605469
7,1669899870.68,314739.92387121305,-27.59840138717462,76.84567139483988,-0.6277397076574971,0.9999666367267359,-0.008168563730555715,0.7294106711642598,20.831321716308594,6.875411033630371,314788.5495834712,-45.61304579112885,60.95120674651116,5.517818397500946,0.9959273156180307,0.09015975823982278,-1.6317216056606867,67.10565100775824,11.083284378051758,1.6335164475968664,5.216103648119636,1.4814699862113883,0.11999988555908203
8,1669899870.72,314742.9982874909,-27.622421095553328,76.87498335400596,-0.6209385305484147,0.999967380604839,-0.0080769874518192,0.730618059450876,20.831321716308594,6.875411033630371,314790.98916890245,-45.42397041734386,60.891077536158264,5.456512610216691,0.9960089514940776,0.08925339513804616,-1.6400022936074947,67.10565100775824,11.083284378051758,1.6093208082585293,5.312897072489602,1.4613045386377082,0.15999984741210938
9,1669899870.76,314746.0738794199,-27.646169398200282,76.90423256997019,-0.6141361574885309,0.9999681156122108,-0.007985471743371018,0.7348519843887971,20.831321716308594,6.875411033630371,314793.4263201056,-45.23740077971204,60.830469771288335,5.3951902238035245,0.9960898973691407,0.0883454376814954,-1.6461018895324742,67.10565100775824,11.083284378051758,1.5851545211070917,5.412834149910411,1.441084516396399,0.19999980926513672
10,1669899870.8000002,314749.1506537903,-27.66964634445066,76.93388213170692,-0.6073364190384041,0.9999688417498578,-0.007894018586747544,0.7448796708355303,20.831321716308594,6.875411033630371,314795.86102506914,-45.05333809430311,60.7697484777309,5.333882607378655,0.9961701521481692,0.08743585059398404,-1.6474095425951418,67.10565100775824,11.083284378051758,1.5610094532076448,5.516116438474592,1.4207991010878325,0.24000000953674316
11,1669899870.8400002,314752.2286174898,-27.692852033099708,76.96393225342035,-0.6005396550582418,0.9999695589900868,-0.007802633732997201,0.7491496880647901,20.831321716308594,6.875411033630371,314798.29327214975,-44.87178335320583,60.70893088495359,5.272590021180804,0.9962497139911977,0.08652460558972062,-1.6526506526528237,67.10565100775824,11.083284378051758,1.5368871771721755,5.622885477943717,1.4005871452823329,0.2799999713897705
12,1669899870.88,314755.307777347,-27.715786556500777,76.99392194580287,-0.5937425123058233,0.9999702673210418,-0.0077113211503662925,0.7504563715448285,20.831321716308594,6.875411033630371,314800.7230507848,-44.692739222516906,60.64768690848723,5.211279790143635,0.9963285852008709,0.08561162486269684,-1.6591205821273434,67.10565100775824,11.083284378051758,1.5127992257741902,5.733213741669689,1.380444543047306,0.31999993324279785
13,1669899870.92,314758.3881400337,-27.738450044103377,77.02407531021163,-0.5869471972931706,0.9999709667154589,-0.007620087017264944,0.7544705745252713,20.831321716308594,6.875411033630371,314803.15035210515,-44.516208750885816,60.586248809471726,5.149967612320211,0.9964067687165957,0.08469681963186468,-1.6618319833825126,67.10565100775824,11.083284378051758,1.4887435118723424,5.8472728265090925,1.3603310170261516,0.3599998950958252
14,1669899870.96,314761.46971197124,-27.76084264734961,77.05438483459875,-0.5801541358301279,0.9999716571439967,-0.007528938085097845,0.7553934182078592,20.831321716308594,6.875411033630371,314805.57516970404,-44.34219581155121,60.52468454558402,5.08865306744292,0.9964842691654625,0.08378007702177141,-1.664910012237442,67.10565100775824,11.083284378051758,1.4647231091260802,5.965200859237474,1.3403163804452087,0.39999985694885254
15,1669899871.0,314764.5524992305,-27.78296454734062,77.0846107234247,-0.5733621156106778,0.9999723385714577,-0.0074378822207797415,0.7589014419221485,20.831321716308594,6.875411033630371,314807.9975002348,-44.170704818857516,60.46289776172489,5.0273209026345285,0.9965610920431262,0.08286126855058251,-1.6634737376820112,67.10565100775824,11.083284378051758,1.4407457603110025,6.087099521702846,1.320361579677756,0.4399998188018799
16,1669899871.0400002,314767.6365074346,-27.80481593954537,77.1151997577399,-0.5665750148637585,0.9999730109694972,-0.00734692674509393,0.7677875569397656,20.831321716308594,6.875411033630371,314810.41734407196,-44.001741135388734,60.40134534612298,4.966000058650138,0.9966372446335463,0.08194023803512494,-1.6549620299895196,67.10565100775824,11.083284378051758,1.4168068683161603,6.213178054075753,1.3004455962288621,0.48000001907348633
17,1669899871.0800002,314770.7217416183,-27.826397077393995,77.14613519934937,-0.5597934557640656,0.9999736742871146,-0.007256082464219089,0.7704752847041618,20.831321716308594,6.875411033630371,314812.834705625,-43.83530955036659,60.340135995298624,4.90469059473412,0.9967127321898424,0.0810168469558,-1.6481324485768027,67.10565100775824,11.083284378051758,1.3929105550913226,6.343578133715011,1.28067602738262,0.5199999809265137
18,1669899871.1200001,314773.8082060876,-27.84770821714375,77.1769377430901,-0.5530146021637279,0.9999743284912586,-0.007165358222496282,0.7697510767072799,20.831321716308594,6.875411033630371,314815.2495939327,-43.671416098041995,60.27902846550569,4.84336186113012,0.9967875623668041,0.0800909202771727,-1.640471298369107,67.10565100775824,11.083284378051758,1.3690699025316628,6.478363314014275,1.2610357653699904,0.559999942779541
19,1669899871.16,314776.8959042822,-27.868749660563033,77.20781392045319,-0.546240798284316,0.9999749735380206,-0.007074764846632248,0.7712804782159992,20.831321716308594,6.875411033630371,314817.6620229852,-43.510066540829186,60.21833116747439,4.7820283371543155,0.9968617414552935,0.07916229167172628,-1.62726667033769,67.10565100775824,11.083284378051758,1.3452854220885333,6.617710844889968,1.2414747859248232,0.5999999046325684
20,1669899871.2,314779.98483865213,-27.889521737884703,77.23873747559264,-0.5394727074009324,0.999975609385698,-0.006984313402334785,0.7692402942350327,20.831321716308594,6.875411033630371,314820.0720120217,-43.35126679184723,60.158178919926286,4.720689530144568,0.9969352754080744,0.07823079091398226,-1.6128847928981713,67.10565100775824,11.083284378051758,1.3215621044734487,6.761762872529751,1.2220383544619084,0.6399998664855957
21,1669899871.24,314783.0750105367,-27.910024813260087,77.26944909663871,-0.5327094476534739,0.9999762359920121,-0.006894015611211049,0.7693262394833482,20.831321716308594,6.875411033630371,314822.47958577034,-43.19502260447903,60.09853193257004,4.659331267671632,0.9970081691007205,0.07729625312024455,-1.5927566457138482,67.10565100775824,11.083284378051758,1.2979089140211282,6.910623705484474,1.2026790484219303,0.679999828338623
22,1669899871.2800002,314786.16642007086,-27.930259267397396,77.3003783589229,-0.5259548362323017,0.9999768533261695,-0.006803882119246412,0.7743612755404001,20.831321716308594,6.875411033630371,314824.88477456383,-43.04134001441487,60.039889071602374,4.597980339346805,0.9970804273643307,0.07635850553123527,-1.5645888376307084,67.10565100775824,11.083284378051758,1.2743234860718056,7.064523782768659,1.1833663422815377,0.7200000286102295
23,1669899871.3200002,314789.259066093,-27.950225540069518,77.33149141119793,-0.5192096527872536,0.9999774613413915,-0.006713926513293149,0.7727837842625149,20.831321716308594,6.875411033630371,314827.2876143134,-42.890223924440576,59.98239411972463,4.5366368960693535,0.997152051756401,0.07541740964790476,-1.537290505527153,67.10565100775824,11.083284378051758,1.2508110907863903,7.2236211525442275,1.1641824731712298,0.7599999904632568
